# Generated by build_examples.py. Columns: polish <TAB> english <TAB> sentence.
być	to be	Chcę **być** lekarzem.
konserwacja	maintenance	Dziś trwa **konserwacja** windy.
gwarancja	guarantee	Ten telefon ma dwuletnią **gwarancję**.
zwrot	return	Chcę **zwrot** pieniędzy.
wymiana	exchange	Proszę o **wymianę** towaru.
zaliczka	advance	Dałem **zaliczkę** za mieszkanie.
zadłużenie	debt	Jego **zadłużenie** rośnie szybko.
wypłacalność	solvency	Bank sprawdza naszą **wypłacalność**.
oszczędności	savings	Mam małe **oszczędności** na wakacje.
wydatki	expenses	Nasze **wydatki** są za duże.
przychód	revenue	Sklep ma duży **przychód**.
obrót	rotation	Ziemia robi **obrót** wokół słońca.
udziałowiec	shareholder	Każdy **udziałowiec** dostał dywidendę.
zarząd	management	Zarząd **decyduje** szybko.
walne zgromadzenie	general meeting	Walne zgromadzenie **zaczyna** się dziś.
ramię	arm	Boli mnie **ramię**.
łokieć	elbow	Uderzyłem **łokieć** o stół.
kolano	knee	Zranione **kolano** boli.
stopa	foot	Moja **stopa** jest mokra.
szyja	neck	**Szyja** mnie boli.
brew	eyebrow	**Brwi** mam ciemne.
warga	lip	Ma spuchniętą **wargę**.
czoło	forehead	Dotknąłem **czoła**.
policzek	cheek	Pocałowałem ją w **policzek**.
paznokieć	nail	Złamałem **paznokieć**.
żołądek	stomach	Mój **żołądek** boli po obiedzie.
płuca	lungs	**Płuca** potrzebują czystego powietrza.
mózg	brain	**Mózg** pracuje cały czas.
wątroba	liver	**Wątroba** filtruje krew.
gorączka	fever	Mam **gorączkę** od rana.
kaszel	cough	Męczy mnie **kaszel**.
katar	rhinitis	Mam dziś **katar**.
grypa	flu	Dostałem **grypę** w pracy.
przeziębienie	cold (illness)	Mam **przeziębienie** i zostaję w domu.
alergia	allergy	Mam **alergię** na pyłki.
rana	wound	Ta **rana** krwawi.
badanie	examination	Lekarz zrobił **badanie**.
wizyta	visit	Mamy **wizytę** u lekarza.
recepta	prescription	Lekarz dał mi **receptę**.
szczepienie	vaccination	Dziś mam **szczepienie** w przychodni.
operacja	operation	Jutro ma **operację**.
oddychać	to breathe	Po biegu trudno mi **oddychać**.
leczyć	to treat	Lekarz chce mnie **leczyć**.
boleć	to hurt	Mnie **boli** brzuch.
wyzdrowieć	to get better	Po tygodniu zacząłem **wyzdrowieć**.
tabletka	tablet	Biorę jedną **tabletkę** rano.
syrop	syrup	Na kaszel piję **syrop**.
maść	ointment	Na ranę dałam **maść**.
zastrzyk	shot	Bałem się **zastrzyku**.
witamina	vitamin	Zimą biorę **witaminę** C.
antybiotyk	antibiotic	Ten **antybiotyk** pomaga na infekcję.
dawka	dose	To jest mała **dawka** leku.
plaster	plaster	Nakleiłam **plaster** na palec.
bandaż	bandage	Pielęgniarka założyła mi **bandaż**.
termometr	thermometer	**Termometr** pokazuje 38 stopni.
apteczka	first aid kit	W aucie mamy **apteczkę**.
kropla	drop	Na stół spadła **kropla** wody.
farmaceuta	pharmacist	**Farmaceuta** polecił mi lek.
lek	drug, medicine	Ten **lek** działa szybko.
bez recepty	over the counter	Ten syrop jest **bez recepty**.
opakowanie	packaging	**Opakowanie** jest czerwone.
ulotka	leaflet	Przeczytałem **ulotkę** przed snem.
dawkowanie	dosage	Lekarz wyjaśnił mi **dawkowanie** leku.
zamiennik	substitute	Nie mam tego sera, kupię **zamiennik**.
kolejka	queue	W sklepie jest długa **kolejka**.
oddział	ward, department	Mój brat leży na **oddziale**.
izba przyjęć	admission room	Czekamy w **izbie przyjęć**.
chirurg	surgeon	**Chirurg** operuje dziś rano.
pacjent	patient	**Pacjent** czeka na lekarza.
kroplówka	drip	Mama ma dziś **kroplówkę**.
karetka	ambulance	**Karetka** przyjechała szybko.
zabieg	procedure	Ten **zabieg** trwa godzinę.
rejestracja	registration	Na **rejestracji** dostałem kartkę.
wyniki	results	Dobre **wyniki** przyszły rano.
pożar	fire	W domu wybuchł **pożar**.
alarm	alarm	Usłyszeliśmy głośny **alarm**.
ewakuacja	evacuation	Pożar zrobił **ewakuację**.
ratownik	lifeguard	**Ratownik** pilnuje plaży.
gaśnica	fire extinguisher	W aucie jest **gaśnica**.
numer alarmowy	emergency number	Zadzwoń na **numer alarmowy**.
ofiara	victim	**Ofiara** wypadku trafiła do szpitala.
ostrzeżenie	warning	Dostałem **ostrzeżenie** od nauczyciela.
zagrożenie	danger	Burza to duże **zagrożenie**.
komisariat	police station	Muszę iść na **komisariat**.
mandat	mandate	Dostałem **mandat** za parkowanie.
przestępca	criminal	Policja szuka **przestępcy**.
złodziej	thief	**Złodziej** ukradł rower.
aresztować	to arrest	Policja chce **aresztować** złodzieja.
śledztwo	investigation	**Śledztwo** trwa już tydzień.
zeznanie	testimony	Policja spisała jego **zeznanie**.
patrol	patrol	Na ulicy stoi **patrol** policji.
zgłosić	to report	Muszę **zgłosić** kradzież.
sędzia	judge	**Sędzia** słuchał stron.
prokurator	prosecutor	**Prokurator** zadał pytanie.
wyrok	verdict	Dziś zapadł **wyrok**.
rozprawa	hearing	Jutro mam **rozprawę**.
skarga	complaint	Napisałem **skargę** na hałas.
konstytucja	constitution	**Konstytucja** chroni prawa ludzi.
ustawa	act	Nowa **ustawa** już działa.
obrona	defense	Dobra **obrona** uratowała mecz.
oskarżony	accused	**Oskarżony** milczał w sądzie.
sejm	lower house of parliament	**Sejm** dziś głosuje.
senat	senate	**Senat** przyjął ustawę.
głosowanie	vote	Wybory to ważne **głosowanie**.
kampania	campaign	Nasza **kampania** rusza jutro.
poseł	envoy	**Poseł** spotkał się z ludźmi.
premier	prime minister	**Premier** dziś przemawia.
opozycja	opposition	**Opozycja** krytykuje rząd.
koalicja	coalition	Ta **koalicja** rządzi razem.
samorząd	local government	**Samorząd** naprawia drogi.
demokracja	democracy	**Demokracja** daje ludziom głos.
Polska	Poland	Mieszkam w **Polsce**.
Niemcy	Germany	Jadę jutro do **Niemiec**.
Francja	France	Moja siostra mieszka we **Francji**.
Anglia	England	On uczy się w **Anglii**.
Hiszpania	Spain	Latem lecę do **Hiszpanii**.
Włochy	Italy	Chcę zobaczyć **Włochy**.
Ukraina	Ukraine	Moja koleżanka jest z **Ukrainy**.
Czechy	The czech republic	W weekend jedziemy do **Czech**.
Rosja	Russia	On ma rodzinę w **Rosji**.
Stany Zjednoczone	United States	Mój brat leci do **Stanów Zjednoczonych**.
Wielka Brytania	Great Britain	Mieszkam w **Wielkiej Brytanii**.
Szwecja	Sweden	Moja ciocia pracuje w **Szwecji**.
Norwegia	Norway	Zimą chcę pojechać do **Norwegii**.
Litwa	Lithuania	Jedziemy na **Litwę**.
Słowacja	Slovakia	Mój tata był na **Słowacji**.
Węgry	Hungary	Wakacje spędzę na **Węgrzech**.
Chiny	China	Mój telefon jest z **Chin**.
Japonia	Japan	Marzę o podróży do **Japonii**.
Warszawa	Warsaw	Mieszkam w **Warszawie**.
Kraków	Cracow	Wczoraj byłem w **Krakowie**.
Gdańsk	Gdansk	Pociąg jedzie do **Gdańska**.
Wrocław	Wroclaw	Siostra studiuje we **Wrocławiu**.
Poznań	Poznan	Tata pracuje w **Poznaniu**.
stolica	capital	Warszawa to **stolica** Polski.
centrum	center	Spotkamy się w **centrum**.
dzielnica	district	Mieszkam w nowej **dzielnicy**.
ratusz	town hall	Spotykamy się dziś przy **ratuszu**.
most	bridge	Stary **most** jest piękny.
park	park	Dzieci bawią się w **parku**.
plac	square	Na **placu** stoją drzewa.
przedmieścia	suburbs	Mieszkamy na **przedmieściach** miasta.
zabytek	monument	Ten kościół to stary **zabytek**.
pomnik	statue	Na rynku stoi **pomnik** króla.
kościół	church	Idziemy dziś do **kościoła**.
zamek	castle, lock	Na stole leży **zamek** do drzwi.
przewodnik	guide	Nasz **przewodnik** mówił ciekawie.
muzeum	museum	W sobotę idziemy do **muzeum**.
wystawa	exhibition	Ta **wystawa** jest bardzo ciekawa.
pamiątka	souvenir	Kupiłem **pamiątkę** z Krakowa.
atrakcja	attraction	Ta wieża to główna **atrakcja**.
zwiedzanie	sightseeing	Lubimy **zwiedzanie** starego miasta.
wstęp	entry	**Wstęp** jest darmowy.
turysta	tourist	**Turysta** pyta o drogę.
sezon	season	Latem zaczyna się **sezon** urlopowy.
nocleg	accommodation	Szukam taniego **noclegu**.
zameldowanie	check-in	**Zameldowanie** jest od piętnastej.
wymeldowanie	check-out	**Wymeldowanie** jest do godziny dziesiątej.
pokojówka	maid	**Pokojówka** sprząta nasz pokój.
winda	elevator	Ta **winda** jedzie na trzecie piętro.
pościel	linen	Nowa **pościel** jest miękka.
sejf	safe	Dokumenty są w **sejfie**.
portier	porter	**Portier** otworzył mi drzwi.
lot	flight	Mój **lot** jest jutro.
bramka	gate, goal	Idziemy do **bramki** numer trzy.
stewardessa	stewardess	**Stewardessa** podała mi wodę.
opóźnienie	delay	Mamy małe **opóźnienie**.
karta pokładowa	boarding pass	Pokaż **kartę pokładową**.
celnik	publican	**Celnik** sprawdził mój paszport.
terminal	terminal	Spotkajmy się w **terminalu**.
metro	subway	Jadę dziś **metrem**.
tramwaj	tram	Ten **tramwaj** jest pełny.
taksówka	taxi	Zamówiłem **taksówkę**.
korek	traffic jam, cork	Stoję w **korku**.
parking	car park	Auto stoi na **parkingu**.
benzyna	gas	Wlałem **benzynę** do auta.
kierownica	steering wheel	Trzymam **kierownicę** mocno.
silnik	engine	**Silnik** nie działa.
prędkość	speed	Nie jedź tak szybko, to duża **prędkość**.
rozkład jazdy	timetable	Sprawdź **rozkład jazdy**.
peron	platform	Pociąg odjeżdża z **peronu** trzeciego.
wsiadać	to get in	Proszę **wsiadać** do autobusu.
wysiadać	to get off	Muszę **wysiadać** za chwilę.
skręcać	to turn	Tu musisz **skręcać** w lewo.
naprzeciwko	opposite	Sklep jest **naprzeciwko** szkoły.
obok	next to	Mieszkam **obok** sklepu.
pomiędzy	between	Stół stoi **pomiędzy** oknami.
nad	over	Lampa wisi **nad** stołem.
kierunek	direction	Idź w tym **kierunku**.
odległość	distance	Ta **odległość** jest duża.
proszę powtórzyć	please repeat	**Proszę powtórzyć**, wolniej.
wszystko dobrze	all good	Tak, **wszystko dobrze**.
dlaczego	why	**Dlaczego** płaczesz?
uczyć się polskiego	learn Polish	Chcę **uczyć się polskiego**.
mój chłopak	my boyfriend	**Mój chłopak** gotuje obiad.
moja dziewczyna	my girlfriend	**Moja dziewczyna** mieszka w Krakowie.
moje hobby	my hobby	**Moje hobby** to pływanie.
bezokolicznik	infinitive	„Iść” to **bezokolicznik**.
mieć rację	to be right	Masz **rację**.
oscypek	smoked sheep cheese	Lubię jeść **oscypek**.
pół	half	Zjadłem **pół** jabłka.
gospodarz	host	**Gospodarz** podał herbatę.
gospodyni	hostess	**Gospodyni** podała obiad.
nudzić się	to be bored	W domu **nudzę się**.
bogaty	rich	On jest bardzo **bogaty**.
biedny	poor	To **biedny** człowiek.
kantor	cantor	W **kantorze** zmieniłem pieniądze.
zaspany	sleepy	Jestem jeszcze **zaspany**.
chętnie	gladly	**Chętnie** pójdę z tobą.
mieć ochotę na	feel like	Mam **ochotę na** lody.
suszony	dried	Lubię **suszone** pomidory.
świeży	fresh	Kupiłem **świeży** chleb.
miękki	soft	Ten koc jest **miękki**.
twardy	hard	Ten stół jest **twardy**.
doniczka	flower pot	Kwiat stoi w **doniczce**.
węgorz	eel	W restauracji jadłem **węgorza**.
uwielbiać	to adore	**Uwielbiam** kawę.
zamawiać	to order	**Zamawiam** pizzę.
zapiekanka	casserole	Zjadłem **zapiekankę** na obiad.
coś dobrze brzmi	something sounds good	To **dobrze brzmi**.
rozwiedziona	divorced	Moja ciocia jest **rozwiedziona**.
nie żyje	he is dead	Mój dziadek już **nie żyje**.
drzewo genealogiczne	family tree	Robimy **drzewo genealogiczne**.
rozmawiać	to talk	Lubię **rozmawiać** z mamą.
stuprocentowy	one hundred percent	To jest **stuprocentowa** prawda.
umówić się	to make an appointment	Muszę **umówić się** z lekarzem.
odbierać telefon	answer the phone	Nie **odbieram telefonu** w pracy.
mieć zasięg	have range	Tutaj telefon nie **ma zasięgu**.
marzenie	dream	Moim **marzeniem** jest podróż.
odpisywać	to reply	Ona **odpisuje** szybko na maile.
szczęście	luck	Mam dziś dużo **szczęścia**.
jednocześnie	simultaneously	Dziecko je i mówi **jednocześnie**.
światło	light	Zapaliłem **światło** w kuchni.
światła	lights	W nocy świecą **światła** miasta.
krzyż	cross	Na kościele stoi duży **krzyż**.
krzyżówka	crossword	Wieczorem rozwiązuję **krzyżówkę**.
wygrać	to win	Chcę **wygrać** ten mecz.
plasterek	slice	Poproszę **plasterek** sera.
zapałki	matches	Nie mam **zapałek** do świeczki.
zgrzewka	a pack	Kupiliśmy **zgrzewkę** wody.
bochenek	loaf	Kupiłem **bochenek** chleba.
wybierać się	to be setting off	Jutro **wybieram się** do lekarza.
nie cierpieć	not to suffer	Ja **nie cierpię** hałasu.
zmyślać	to make things up	On często **zmyśla** historie.
zależeć od	depend on	To **zależy od** pogody.
pora roku	season	Jesień to moja ulubiona **pora roku**.
przysłowie	proverb	To stare **przysłowie** jest prawdziwe.
zaczynać się	to begin	Lekcja **zaczyna się** o ósmej.
kończyć się	to end	Film **kończy się** za chwilę.
mieć nadzieję	to hope	Mam **nadzieję** na lepszy dzień.
modny	trendy	Ta sukienka jest **modna**.
marudny	strenuous	Po drodze było **marudnie**.
plotki	gossip	Nie wierzę w **plotki**.
plotkować	to gossip	One lubią **plotkować** po pracy.
strasznie	terribly	Dziś jest **strasznie** zimno.
piętro	floor	Mieszkam na drugim **piętrze**.
mebel	piece of furniture	Ten **mebel** jest nowy.
parter	ground floor	Na **parterze** jest sklep.
kamienica	tenement	Ta **kamienica** ma czerwony dach.
kominek	fireplace	W salonie pali się **kominek**.
spiżarnia	pantry	Chleb leży w **spiżarni**.
zaspać	to oversleep	Rano **zaspałem** do szkoły.
zdarzać się	to happen	Takie błędy **zdarzają się** często.
jeśli chodzi o	when it comes to	**Jeśli chodzi o** jedzenie, lubię zupę.
graniczyć	to border	Polska **graniczy** z Niemcami.
połączenie	connection	Nie mam **połączenia** z internetem.
średniowiecze	middle Ages	W **średniowieczu** były zamki.
obchodzić urodziny	celebrate a birthday	Dziś **obchodzi** urodziny moja siostra.
komunizm	communism	W szkole mówili o **komunizmie**.
kieliszek	small glass	Daj mi mały **kieliszek** wody.
zostawać	to stay	Po pracy chcę **zostawać** w domu.
zejść	to go down	Musimy **zejść** na dół.
należeć	to belong	Ten rower **należy** do Ani.
zabór	annexation	Po **zaborze** miasto zmieniło się.
pod względem	in terms of	Ta szkoła jest dobra **pod względem** sportu.
międzywojenny	interwar period	To zdjęcie jest **międzywojenne**.
ciuch	rag	Ten **ciuch** jest stary.
nosić	to wear	Latem **noszę** okulary.
mieć na sobie	wear	Mam dziś **na sobie** nową koszulę.
olśniewający	resplendent	Ma **olśniewający** uśmiech.
kiepski	lousy	To był **kiepski** film.
strzyżenie	clipping	Potrzebuję krótkiego **strzyżenia**.
pozwolić na	allow for	To okno **pozwala na** widok na park.
wygląd zewnętrzny	external appearance	Jego **wygląd zewnętrzny** jest ważny.
części ciała	body parts	Znam nazwy wszystkich **części ciała**.
zażywać	to take medicine	Muszę **zażywać** tabletki codziennie.
przypadek	case	W każdym **przypadku** zadzwoń do mnie.
sprawa do załatwienia	a matter to be dealt with	Mam dziś ważną **sprawę do załatwienia**.
usługi	services	Bank oferuje dobre **usługi**.
doładować kartę	top up your card	Muszę **doładować kartę** w kiosku.
korzystać	to use	Dzieci **korzystają** z biblioteki.
zepsuć się	to spoil myself	Dziś chcę **zepsuć się** ciastem.
naprawić	to repair	Chcę **naprawić** rower.
nieodpowiedzialny	irresponsible	To było **nieodpowiedzialne** zachowanie.
